Epoch, Loss, Train Accuracy, Test Accuracy, Time Taken(s)
1,2.100000,0.47,0.62,0.004000
2,2.100000,0.47,0.62,0.006000
3,2.100000,0.47,0.62,0.009000
4,2.100000,0.47,0.62,0.010000
5,2.100000,0.47,0.62,0.012000
6,2.100000,0.47,0.62,0.014000
7,2.100000,0.47,0.62,0.014000
8,2.100000,0.47,0.62,0.014000
9,2.100000,0.47,0.62,0.014000
10,2.100000,0.47,0.62,0.014000
11,2.100000,0.47,0.62,0.025000
12,2.100000,0.47,0.62,0.025000
13,2.100000,0.47,0.62,0.029000
14,2.100000,0.47,0.62,0.029000
15,2.100000,0.47,0.62,0.029000
16,2.100000,0.47,0.62,0.029000
17,2.100000,0.47,0.62,0.029000
18,2.100000,0.47,0.62,0.029000
19,2.100000,0.47,0.62,0.029000
20,2.100000,0.47,0.62,0.029000
21,2.100000,0.47,0.62,0.047000
22,2.100000,0.47,0.62,0.049000
23,2.100000,0.47,0.62,0.050000
24,2.100000,0.47,0.62,0.050000
25,2.100000,0.47,0.62,0.050000
26,2.100000,0.47,0.62,0.058000
27,2.100000,0.47,0.62,0.058000
28,2.100000,0.47,0.62,0.058000
29,2.100000,0.47,0.62,0.065000
30,2.100000,0.47,0.62,0.067000
31,2.100000,0.47,0.62,0.069000
32,2.100000,0.47,0.62,0.071000
33,2.100000,0.47,0.62,0.073000
34,2.100000,0.47,0.62,0.076000
35,2.100000,0.47,0.62,0.078000
36,2.100000,0.47,0.62,0.078000
37,2.100000,0.47,0.62,0.078000
38,2.100000,0.47,0.62,0.078000
39,2.100000,0.47,0.62,0.078000
40,2.100000,0.47,0.62,0.078000
41,2.100000,0.47,0.62,0.078000
42,2.100000,0.47,0.62,0.078000
43,2.100000,0.47,0.62,0.093000
44,2.100000,0.47,0.62,0.093000
45,2.100000,0.47,0.62,0.093000
46,2.100000,0.47,0.62,0.093000
47,2.100000,0.47,0.62,0.093000
48,2.100000,0.47,0.62,0.093000
49,2.100000,0.47,0.62,0.093000
50,2.100000,0.47,0.62,0.109000
51,2.100000,0.47,0.62,0.111000
52,2.100000,0.47,0.62,0.114000
53,2.100000,0.47,0.62,0.116000
54,2.100000,0.47,0.62,0.118000
55,2.100000,0.47,0.62,0.120000
56,2.100000,0.47,0.62,0.122000
57,2.100000,0.47,0.62,0.124000
58,2.100000,0.47,0.62,0.127000
59,2.100000,0.47,0.62,0.129000
60,2.100000,0.47,0.62,0.131000
61,2.100000,0.47,0.62,0.133000
62,2.100000,0.47,0.62,0.135000
63,2.100000,0.47,0.62,0.137000
64,2.100000,0.47,0.62,0.139000
65,2.100000,0.47,0.62,0.141000
66,2.100000,0.47,0.62,0.143000
67,2.100000,0.47,0.62,0.145000
68,2.100000,0.47,0.62,0.147000
69,2.100000,0.47,0.62,0.149000
70,2.100000,0.47,0.62,0.151000
71,2.100000,0.47,0.62,0.153000
72,2.100000,0.47,0.62,0.155000
73,2.100000,0.47,0.62,0.158000
74,2.100000,0.47,0.62,0.158000
75,2.100000,0.47,0.62,0.158000
76,2.100000,0.47,0.62,0.158000
77,2.100000,0.47,0.62,0.158000
78,2.100000,0.47,0.62,0.158000
79,2.100000,0.47,0.62,0.160000
80,2.100000,0.47,0.62,0.161000
81,2.100000,0.47,0.62,0.163000
82,2.100000,0.47,0.62,0.165000
83,2.100000,0.47,0.62,0.167000
84,2.100000,0.47,0.62,0.169000
85,2.100000,0.47,0.62,0.171000
86,2.100000,0.47,0.62,0.173000
87,2.100000,0.47,0.62,0.175000
88,2.100000,0.47,0.62,0.178000
89,2.100000,0.47,0.62,0.178000
90,2.100000,0.47,0.62,0.178000
91,2.100000,0.47,0.62,0.178000
92,2.100000,0.47,0.62,0.178000
93,2.100000,0.47,0.62,0.178000
94,2.100000,0.47,0.62,0.178000
95,2.100000,0.47,0.62,0.178000
96,2.100000,0.47,0.62,0.193000
97,2.100000,0.47,0.62,0.193000
98,2.100000,0.47,0.62,0.193000
99,2.100000,0.47,0.62,0.200000
100,2.100000,0.47,0.62,0.200000
