Epoch, Loss, Train Accuracy, Test Accuracy, Time Taken(s)
1,1.000000,0.52,0.38,0.013000
2,1.231576,0.47,0.62,0.015000
3,1.462848,0.52,0.38,0.017000
4,1.472022,0.91,0.97,0.017000
5,0.541311,0.90,0.85,0.017000
6,0.521254,0.67,0.77,0.017000
7,0.795483,0.52,0.38,0.017000
8,1.521589,0.81,0.64,0.027000
9,0.500951,0.63,0.77,0.030000
10,0.941227,0.52,0.38,0.032000
11,1.230487,0.84,0.82,0.034000
12,0.481995,0.59,0.49,0.035000
13,0.699870,0.66,0.77,0.035000
14,0.907512,0.67,0.54,0.040000
15,0.654646,0.76,0.79,0.041000
16,0.724900,0.84,0.69,0.043000
17,0.439410,0.83,0.82,0.045000
18,0.505747,0.91,0.87,0.047000
19,0.333537,0.87,0.90,0.049000
20,0.366967,0.94,0.87,0.051000
21,0.296653,0.88,0.90,0.053000
22,0.315977,0.96,0.90,0.056000
23,0.272976,0.88,0.92,0.056000
24,0.284261,0.96,0.90,0.056000
25,0.253261,0.90,0.95,0.056000
26,0.258872,0.97,0.90,0.056000
27,0.235380,0.90,0.97,0.056000
28,0.236766,0.97,0.92,0.056000
29,0.218630,0.93,0.97,0.056000
30,0.216954,0.97,0.92,0.072000
31,0.202846,0.94,0.97,0.072000
32,0.199156,0.98,0.95,0.072000
33,0.188146,0.96,0.97,0.072000
34,0.183386,0.98,0.97,0.072000
35,0.174783,0.97,0.97,0.072000
36,0.169739,0.99,0.97,0.072000
37,0.163011,0.98,0.97,0.072000
38,0.158234,0.99,0.97,0.087000
39,0.152950,0.98,0.97,0.088000
40,0.148727,0.99,0.97,0.088000
41,0.144524,0.98,0.97,0.088000
42,0.140909,0.99,0.97,0.088000
43,0.137477,0.99,0.97,0.088000
44,0.134384,0.99,0.97,0.099000
45,0.131476,0.99,0.97,0.099000
46,0.128772,0.99,0.97,0.102000
47,0.126210,0.99,0.97,0.102000
48,0.123778,0.99,0.97,0.102000
49,0.121450,0.99,0.97,0.102000
50,0.119212,0.99,0.97,0.102000
51,0.117052,0.99,0.97,0.112000
52,0.114962,0.99,0.97,0.112000
53,0.112937,0.99,0.97,0.112000
54,0.110972,0.99,0.97,0.118000
55,0.109064,0.99,0.97,0.120000
56,0.107210,0.99,0.97,0.122000
57,0.105408,0.99,0.97,0.122000
58,0.103656,0.99,0.97,0.122000
59,0.101953,0.99,0.97,0.122000
60,0.100296,0.99,0.97,0.122000
61,0.098685,0.99,0.97,0.122000
62,0.097117,0.99,0.97,0.122000
63,0.095591,0.99,0.97,0.134000
64,0.094107,0.99,0.97,0.134000
65,0.092661,0.99,0.97,0.134000
66,0.091255,1.00,0.97,0.134000
67,0.089885,1.00,0.97,0.134000
68,0.088550,1.00,0.97,0.134000
69,0.087251,1.00,0.97,0.134000
70,0.085985,1.00,0.97,0.134000
71,0.084751,1.00,0.97,0.150000
72,0.083548,1.00,0.97,0.150000
73,0.082376,1.00,0.97,0.150000
74,0.081233,1.00,0.97,0.150000
75,0.080118,1.00,0.97,0.150000
76,0.079030,1.00,0.97,0.150000
77,0.077969,1.00,0.97,0.150000
78,0.076934,1.00,0.97,0.150000
79,0.075923,1.00,0.97,0.166000
80,0.074936,1.00,0.97,0.168000
81,0.073973,1.00,0.97,0.168000
82,0.073031,1.00,0.97,0.168000
83,0.072112,1.00,0.97,0.168000
84,0.071213,1.00,0.97,0.168000
85,0.070335,1.00,0.97,0.168000
86,0.069477,1.00,0.97,0.182000
87,0.068637,1.00,0.97,0.183000
88,0.067816,1.00,0.97,0.183000
89,0.067013,1.00,0.97,0.183000
90,0.066228,1.00,0.97,0.183000
91,0.065459,1.00,0.97,0.183000
92,0.064707,1.00,0.97,0.183000
93,0.063970,1.00,0.97,0.183000
94,0.063249,1.00,0.97,0.198000
95,0.062542,1.00,0.97,0.200000
96,0.061850,1.00,0.97,0.202000
97,0.061172,1.00,0.97,0.204000
98,0.060508,1.00,0.97,0.206000
99,0.059857,1.00,0.97,0.208000
100,0.059219,1.00,0.97,0.210000
