Epoch, Loss, Train Accuracy, Test Accuracy, Time Taken(s)
1,2.096748,0.47,0.62,0.002000
2,1.580548,0.47,0.62,0.004000
3,1.602928,0.52,0.38,0.006000
4,1.765380,0.52,0.38,0.008000
5,1.767293,0.52,0.38,0.010000
6,1.662488,0.52,0.38,0.012000
7,1.124652,0.52,0.38,0.015000
8,0.717327,0.74,0.79,0.017000
9,0.873031,0.65,0.77,0.019000
10,0.387756,0.89,0.92,0.021000
11,0.537916,0.75,0.59,0.023000
12,0.568464,0.74,0.56,0.025000
13,0.310309,0.96,0.90,0.028000
14,0.305380,0.89,0.92,0.029000
15,0.399135,0.87,0.87,0.031000
16,0.358909,0.87,0.90,0.033000
17,0.240570,0.91,0.97,0.035000
18,0.196866,0.96,0.97,0.037000
19,0.256732,0.95,0.87,0.039000
20,0.257869,0.94,0.87,0.042000
21,0.184226,0.97,0.92,0.044000
22,0.147535,0.98,0.97,0.046000
23,0.169248,0.95,0.97,0.048000
24,0.184861,0.93,0.97,0.051000
25,0.161723,0.95,0.97,0.053000
26,0.123102,0.98,0.97,0.055000
27,0.108385,0.99,0.97,0.058000
28,0.119553,0.98,0.95,0.060000
29,0.125562,0.98,0.90,0.062000
30,0.109571,0.98,0.95,0.064000
31,0.087628,0.99,0.97,0.066000
32,0.078896,0.99,0.97,0.068000
33,0.082546,0.98,0.97,0.070000
34,0.085133,0.98,0.97,0.073000
35,0.078026,0.98,0.97,0.075000
36,0.065441,0.99,0.97,0.077000
37,0.056693,0.99,0.97,0.079000
38,0.055240,0.99,0.97,0.081000
39,0.056829,1.00,0.95,0.083000
40,0.055241,1.00,0.95,0.085000
41,0.049085,1.00,0.95,0.086000
42,0.042189,1.00,0.97,0.089000
43,0.038305,0.99,0.97,0.091000
44,0.037647,0.99,0.97,0.093000
45,0.037673,0.99,0.97,0.095000
46,0.035938,0.99,0.97,0.097000
47,0.032360,1.00,0.97,0.099000
48,0.028797,1.00,0.97,0.101000
49,0.026794,1.00,0.97,0.103000
50,0.026281,1.00,0.97,0.105000
51,0.026106,1.00,0.97,0.107000
52,0.025256,1.00,0.97,0.110000
53,0.023606,1.00,0.97,0.112000
54,0.021766,1.00,0.97,0.114000
55,0.020419,1.00,0.97,0.116000
56,0.019798,1.00,0.97,0.118000
57,0.019610,1.00,0.97,0.120000
58,0.019340,1.00,0.97,0.122000
59,0.018687,1.00,0.97,0.124000
60,0.017748,1.00,0.97,0.126000
61,0.016848,1.00,0.97,0.128000
62,0.016229,1.00,0.97,0.130000
63,0.015900,1.00,0.97,0.132000
64,0.015698,1.00,0.97,0.134000
65,0.015440,1.00,0.97,0.136000
66,0.015037,1.00,0.97,0.138000
67,0.014529,1.00,0.97,0.140000
68,0.014023,1.00,0.97,0.142000
69,0.013617,1.00,0.97,0.144000
70,0.013338,1.00,0.97,0.146000
71,0.013138,1.00,0.97,0.148000
72,0.012940,1.00,0.97,0.150000
73,0.012689,1.00,0.97,0.152000
74,0.012383,1.00,0.97,0.154000
75,0.012063,1.00,0.97,0.156000
76,0.011775,1.00,0.97,0.158000
77,0.011542,1.00,0.97,0.160000
78,0.011355,1.00,0.97,0.162000
79,0.011187,1.00,0.97,0.164000
80,0.011010,1.00,0.97,0.167000
81,0.010812,1.00,0.97,0.169000
82,0.010600,1.00,0.97,0.171000
83,0.010390,1.00,0.97,0.173000
84,0.010199,1.00,0.97,0.175000
85,0.010031,1.00,0.97,0.177000
86,0.009883,1.00,0.97,0.179000
87,0.009742,1.00,0.97,0.181000
88,0.009599,1.00,0.97,0.183000
89,0.009449,1.00,0.97,0.185000
90,0.009295,1.00,0.97,0.187000
91,0.009145,1.00,0.97,0.189000
92,0.009003,1.00,0.97,0.191000
93,0.008873,1.00,0.97,0.193000
94,0.008752,1.00,0.97,0.195000
95,0.008635,1.00,0.97,0.197000
96,0.008519,1.00,0.97,0.199000
97,0.008402,1.00,0.97,0.201000
98,0.008284,1.00,0.97,0.203000
99,0.008168,1.00,0.97,0.205000
100,0.008057,1.00,0.97,0.207000
